PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCRAMBLING_PERCENTAGE,PUTTS_PER_ROUND
33803,Lucas Bjerregaard,2019 PGA Championship,62.5,316.6,55.36,59.26,29.75
34076,Joel Dahmen,2019 PGA Championship,62.5,295.8,67.86,33.33,31.75
30911,Tommy Fleetwood,2019 PGA Championship,62.5,301.3,57.14,44.44,30.5
47238,Jazz Janewattananond,2019 PGA Championship,62.5,304.0,57.14,51.85,28.75
27974,Sung Kang,2019 PGA Championship,62.5,308.1,66.07,74.07,29.0
48117,Kurt Kitayama,2019 PGA Championship,62.5,315.3,51.79,44.44,31.5
25572,Graeme McDowell,2019 PGA Championship,62.5,284.5,66.07,44.44,29.25
28089,Jason Day,2019 PGA Championship,61.11,310.0,51.79,53.57,29.5
35461,Beau Hossler,2019 PGA Championship,61.11,294.9,64.29,46.43,29.75
35296,Haotong Li,2019 PGA Championship,61.11,293.9,58.93,53.57,29.75
33293,Thomas Pieters,2019 PGA Championship,61.11,298.8,50.0,60.71,29.75
27649,Brandt Snedeker,2019 PGA Championship,61.11,279.8,71.43,50.0,29.25
34046,Jordan Spieth,2019 PGA Championship,61.11,303.3,48.21,67.86,28.0
47504,Sam Burns,2019 PGA Championship,59.72,311.8,62.5,37.93,30.0
29725,Tony Finau,2019 PGA Championship,59.72,314.3,39.29,41.38,31.25
33399,Adam Hadwin,2019 PGA Championship,59.72,285.8,55.36,62.07,30.0
28938,Justin Harding,2019 PGA Championship,59.72,288.5,73.21,48.28,30.5
29420,Billy Horschel,2019 PGA Championship,59.72,296.1,57.14,55.17,29.0
24024,Zach Johnson,2019 PGA Championship,59.72,290.6,69.64,48.28,30.25
49964,Aaron Wise,2019 PGA Championship,59.72,301.0,60.71,51.72,30.5
29268,Bronson Burgoon,2019 PGA Championship,58.33,293.8,66.07,53.33,30.75
39977,Max Homa,2019 PGA Championship,58.33,298.1,55.36,43.33,30.5
30944,Jason Kokrak,2019 PGA Championship,58.33,307.9,62.5,56.67,29.5
27129,Luke List,2019 PGA Championship,58.33,319.0,44.64,66.67,27.25
28300,Joost Luiten,2019 PGA Championship,58.33,284.9,57.14,53.33,30.5
32839,Hideki Matsuyama,2019 PGA Championship,58.33,303.5,66.07,46.67,28.25
24502,Adam Scott,2019 PGA Championship,58.33,301.5,48.21,66.67,28.5
21528,Henrik Stenson,2019 PGA Championship,58.33,281.0,55.36,53.33,29.25
32333,Kevin Tway,2019 PGA Championship,58.33,295.5,48.21,43.33,31.0
37189,Harold Varner III,2019 PGA Championship,58.33,308.3,53.57,56.67,30.25
45526,Abraham Ancer,2019 PGA Championship,56.94,285.6,67.86,58.06,28.75
12716,Charley Hoffman,2019 PGA Championship,56.94,296.6,50.0,51.61,29.75
27349,Alex Noren,2019 PGA Championship,56.94,298.0,55.36,45.16,30.25
49771,J.T. Poston,2019 PGA Championship,56.94,291.5,73.21,58.06,29.75
48887,Matt Wallace,2019 PGA Championship,56.94,300.3,53.57,61.29,27.0
40026,Daniel Berger,2019 PGA Championship,55.56,301.5,58.93,50.0,30.25
29772,Michael Lorenzo-Vera,2019 PGA Championship,55.56,302.0,51.79,62.5,28.0
39324,J.J. Spaun,2019 PGA Championship,55.56,294.9,58.93,40.63,29.0
30978,Kiradech Aphibarnrat,2019 PGA Championship,54.17,284.0,58.93,54.55,28.25
25900,Lucas Glover,2019 PGA Championship,54.17,297.0,60.71,57.58,28.0
39058,Lucas Herbert,2019 PGA Championship,54.17,298.0,55.36,27.27,30.25
21961,Charles Howell III,2019 PGA Championship,54.17,304.9,53.57,57.58,29.25
26329,Louis Oosthuizen,2019 PGA Championship,54.17,306.0,60.71,42.42,29.75
35891,Cameron Smith,2019 PGA Championship,54.17,302.5,51.79,45.45,29.0
36326,David Lipsky,2019 PGA Championship,52.78,287.1,58.93,44.12,29.25
35879,Kelly Kraft,2019 PGA Championship,51.39,292.0,62.5,60.0,27.75
25431,Rob Labritz,2019 PGA Championship,51.39,284.5,53.57,54.29,29.0
1810,Phil Mickelson,2019 PGA Championship,51.39,318.6,44.64,45.71,29.25
34256,Andrew Putnam,2019 PGA Championship,51.39,274.1,51.79,42.86,29.5
29926,Danny Lee,2019 PGA Championship,50.0,306.5,42.86,55.56,27.25
26476,Chez Reavie,2019 PGA Championship,50.0,289.1,66.07,61.11,26.75
23614,Rich Beem,2019 PGA Championship,47.22,281.9,67.86,42.11,29.25
26499,Rafa Cabrera Bello,2019 PGA Championship,47.22,292.3,57.14,57.89,29.0
24361,Pat Perez,2019 PGA Championship,47.22,294.6,50.0,47.37,28.25
24964,Ryan Vermeer,2019 PGA Championship,47.22,297.0,55.36,55.26,29.0
26735,Marty Jertson,2019 PGA Championship,41.67,281.9,48.21,52.38,28.75
