RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
126,3,47663,Kevin Dougherty,57.12%,345,604
128,5,35461,Beau Hossler,56.96%,499,876
129,5,12716,Charley Hoffman,56.94%,410,720
130,5,54591,Ben Griffin,56.88%,678,1192
131,5,59836,Pierceson Coody,56.70%,457,806
132,-1,52215,Robert MacIntyre,56.64%,563,994
133,5,39977,Max Homa,56.56%,578,1022
134,5,47420,Jake Knapp,56.48%,558,988
135,5,22371,Aaron Baddeley,56.44%,412,730
136,-4,40250,Taylor Pendrith,56.40%,564,1000
137,7,33448,Justin Thomas,55.95%,489,874
138,3,35506,Mackenzie Hughes,55.93%,613,1096
139,3,27129,Luke List,55.89%,446,798
140,3,59866,Nick Dunlap,55.69%,489,878
141,6,51766,Wyndham Clark,55.52%,503,906
142,3,33968,Thorbjørn Olesen,55.45%,366,660
143,3,50188,S.H. Kim,55.20%,605,1096
144,4,28420,Ryan Brehm,54.95%,333,606
144,4,50497,Adrien Dumont de Chassart,54.95%,411,748
146,4,48887,Matt Wallace,54.93%,457,832
147,4,39975,Michael Kim,54.90%,448,816
148,4,54421,Garrick Higgo,54.72%,417,762
149,4,57975,Harry Hall,54.64%,483,884
150,4,27139,David Skinns,54.56%,407,746
151,4,33408,Tyson Alexander,54.36%,399,734
152,4,52453,Nicolai Højgaard,54.30%,429,790
153,4,31323,Gary Woodland,54.29%,481,886
154,4,59442,Parker Coody,53.83%,394,732
155,5,34255,Joseph Bramlett,53.50%,428,800
156,3,33948,Byeong Hun An,53.33%,561,1052
157,5,34466,Peter Malnati,52.44%,473,902
158,5,48699,Callum Tarren,52.17%,360,690
159,5,51894,Vince Whaley,51.57%,328,636
160,5,48119,Ben Taylor,51.15%,312,610
161,5,38991,Alejandro Tosti,50.57%,356,704
162,5,46113,Ryan McCormick,50.16%,305,608
163,5,29936,Ryan Fox,50.00%,428,856
164,5,59095,Chris Gotterup,49.82%,406,815
