TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Rafa Cabrera Bello,71,7322,69,279
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Rafa Cabrera Bello,71,7322,71,279
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Paul Casey,71,7322,70,279
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Paul Casey,71,7322,66,279
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Paul Casey,71,7322,71,279
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Paul Casey,71,7322,72,279
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Ryan Moore,71,7322,68,280
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Ryan Moore,71,7322,72,280
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Ryan Moore,71,7322,73,280
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Ryan Moore,71,7322,67,280
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Dylan Frittelli,71,7322,68,280
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Dylan Frittelli,71,7322,72,280
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Dylan Frittelli,71,7322,72,280
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Dylan Frittelli,71,7322,68,280
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Matt Kuchar,71,7322,68,280
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Matt Kuchar,71,7322,72,280
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Matt Kuchar,71,7322,69,280
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Matt Kuchar,71,7322,71,280
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Tommy Fleetwood,71,7322,70,280
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Tommy Fleetwood,71,7322,69,280
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Tommy Fleetwood,71,7322,70,280
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Tommy Fleetwood,71,7322,71,280
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",J.T. Poston,71,7322,67,280
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",J.T. Poston,71,7322,70,280
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",J.T. Poston,71,7322,70,280
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",J.T. Poston,71,7322,73,280
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Danny Willett,71,7322,71,281
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Danny Willett,71,7322,71,281
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Danny Willett,71,7322,69,281
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Danny Willett,71,7322,70,281
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Nick Taylor,71,7322,70,281
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Nick Taylor,71,7322,71,281
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Nick Taylor,71,7322,68,281
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Nick Taylor,71,7322,72,281
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Kevin Na,71,7322,70,281
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Kevin Na,71,7322,70,281
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Kevin Na,71,7322,69,281
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Kevin Na,71,7322,72,281
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Kyle Jones,71,7322,68,281
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Kyle Jones,71,7322,67,281
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Kyle Jones,71,7322,70,281
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Kyle Jones,71,7322,76,281
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Max Homa,71,7322,69,282
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Max Homa,71,7322,70,282
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Max Homa,71,7322,74,282
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Max Homa,71,7322,69,282
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Phil Mickelson,71,7322,72,282
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Phil Mickelson,71,7322,69,282
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Phil Mickelson,71,7322,71,282
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Phil Mickelson,71,7322,70,282
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Sergio Garcia,71,7322,75,282
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Sergio Garcia,71,7322,67,282
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Sergio Garcia,71,7322,69,282
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Sergio Garcia,71,7322,71,282
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Jason Kokrak,71,7322,69,282
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Jason Kokrak,71,7322,73,282
