RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
130,0,47420,Jake Knapp,56.48%,558,988
131,0,40250,Taylor Pendrith,56.40%,564,1000
132,0,39977,Max Homa,56.38%,592,1050
133,0,59836,Pierceson Coody,56.26%,485,862
134,0,35461,Beau Hossler,56.19%,508,904
135,0,36699,Patrick Rodgers,56.17%,610,1086
136,0,34563,Chesson Hadley,56.11%,404,720
137,0,12716,Charley Hoffman,56.06%,435,776
138,0,47988,Nick Hardy,56.02%,540,964
139,0,33448,Justin Thomas,55.95%,489,874
140,0,27129,Luke List,55.89%,446,798
141,0,37212,Paul Barjon,55.78%,309,554
142,0,59866,Nick Dunlap,55.69%,489,878
143,0,22371,Aaron Baddeley,55.60%,437,786
144,0,33968,Thorbjørn Olesen,55.45%,366,660
145,0,51766,Wyndham Clark,55.25%,516,934
146,0,35506,Mackenzie Hughes,55.12%,635,1152
147,0,50188,S.H. Kim,55.07%,619,1124
148,0,48887,Matt Wallace,54.93%,457,832
149,0,57975,Harry Hall,54.64%,483,884
150,0,31323,Gary Woodland,54.38%,497,914
151,0,52453,Nicolai Højgaard,54.30%,429,790
152,0,39975,Michael Kim,54.27%,458,844
153,0,50497,Adrien Dumont de Chassart,54.25%,421,776
154,0,27139,David Skinns,54.11%,434,802
155,0,28420,Ryan Brehm,54.10%,343,634
156,0,33408,Tyson Alexander,54.07%,412,762
157,0,54421,Garrick Higgo,53.91%,441,818
158,0,33948,Byeong Hun An,53.33%,561,1052
159,0,59442,Parker Coody,53.29%,405,760
160,0,34255,Joseph Bramlett,53.26%,441,828
161,0,34466,Peter Malnati,52.44%,473,902
162,0,34374,Erik Barnes,51.99%,301,579
163,0,48699,Callum Tarren,51.39%,369,718
164,0,48119,Ben Taylor,50.78%,324,638
165,0,46113,Ryan McCormick,50.47%,321,636
166,0,51894,Vince Whaley,50.45%,335,664
167,0,29936,Ryan Fox,50.00%,428,856
167,0,38991,Alejandro Tosti,50.00%,366,732
169,0,59095,Chris Gotterup,49.35%,416,843
