PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCRAMBLING_PERCENTAGE,PUTTS_PER_ROUND,R1_PUTTS
36801,Mark Hubbard,2023 PGA Championship,59.72%,287.8,51.79%,37.93%,31.75,30
30925,Dustin Johnson,2023 PGA Championship,59.72%,311.3,48.21%,51.72%,30.0,26
22405,Justin Rose,2023 PGA Championship,59.72%,291.9,32.14%,55.17%,27.75,28
51634,Sahith Theegala,2023 PGA Championship,59.72%,311.1,39.29%,37.93%,29.25,30
33448,Justin Thomas,2023 PGA Championship,59.72%,302.9,41.07%,48.28%,30.25,30
24024,Zach Johnson,2023 PGA Championship,58.33%,282.6,53.57%,46.67%,29.0,29
1810,Phil Mickelson,2023 PGA Championship,58.33%,298.9,42.86%,50.00%,30.0,31
35891,Cameron Smith,2023 PGA Championship,58.33%,290.0,39.29%,60.00%,26.75,30
33974,Dean Burmester,2023 PGA Championship,56.94%,315.9,32.14%,58.06%,29.5,33
33653,Thomas Detry,2023 PGA Championship,56.94%,312.5,51.79%,54.84%,28.5,30
29936,Ryan Fox,2023 PGA Championship,56.94%,303.3,41.07%,58.06%,28.5,24
32369,Sihwan Kim,2023 PGA Championship,56.94%,292.8,39.29%,48.39%,30.25,34
30926,Chris Kirk,2023 PGA Championship,56.94%,287.3,53.57%,54.84%,28.0,29
40250,Taylor Pendrith,2023 PGA Championship,56.94%,297.8,41.07%,58.06%,29.0,28
46970,Jon Rahm,2023 PGA Championship,56.94%,304.9,55.36%,41.94%,28.75,29
40115,Adam Svensson,2023 PGA Championship,56.94%,301.6,48.21%,41.94%,28.25,27
29725,Tony Finau,2023 PGA Championship,55.56%,293.8,42.86%,46.88%,30.0,25
20766,Padraig Harrington,2023 PGA Championship,55.56%,291.3,44.64%,56.25%,28.5,28
49771,J.T. Poston,2023 PGA Championship,55.56%,294.8,50.00%,59.38%,28.0,29
55893,Sam Stevens,2023 PGA Championship,55.56%,307.8,48.21%,37.50%,30.5,30
48887,Matt Wallace,2023 PGA Championship,55.56%,281.5,50.00%,56.25%,30.5,31
39058,Lucas Herbert,2023 PGA Championship,54.17%,301.5,35.71%,48.48%,28.25,31
35461,Beau Hossler,2023 PGA Championship,54.17%,302.6,33.93%,57.58%,28.25,29
45523,Thriston Lawrence,2023 PGA Championship,54.17%,291.0,44.64%,48.48%,28.0,26
37378,Min Woo Lee,2023 PGA Championship,54.17%,319.0,35.71%,63.64%,26.75,29
49947,Taylor Moore,2023 PGA Championship,54.17%,301.1,44.64%,48.48%,30.0,30
33293,Thomas Pieters,2023 PGA Championship,54.17%,299.6,39.29%,48.48%,28.0,26
48119,Ben Taylor,2023 PGA Championship,52.78%,305.1,37.50%,55.88%,28.75,27
35778,Kazuki Higa,2023 PGA Championship,51.39%,284.6,48.21%,37.14%,31.0,29
39977,Max Homa,2023 PGA Championship,50.00%,303.9,46.43%,50.00%,28.5,26
55789,Taylor Montgomery,2023 PGA Championship,50.00%,287.6,41.07%,55.56%,28.75,26
37189,Harold Varner III,2023 PGA Championship,50.00%,302.6,39.29%,61.11%,27.0,24
26476,Chez Reavie,2023 PGA Championship,48.61%,297.3,50.00%,62.16%,27.25,32
29670,Pablo Larrazabal,2023 PGA Championship,44.44%,291.8,32.14%,60.00%,27.75,29
